Weight (in Lbs ),Zone-2,Zone-3,Zone-4,Zone-5,Zone-6,Zone-7,Zone-8
1,8.08,8.08,8.08,8.08,8.08,8.08,8.08
2,8.08,8.08,8.08,8.08,8.08,8.08,8.08
3,8.08,8.08,8.08,8.08,8.08,8.08,8.08
4,8.08,8.08,8.08,8.08,8.08,8.08,8.08
5,8.08,8.08,8.08,8.08,8.08,8.08,8.08
6,8.08,8.08,8.08,8.08,8.08,8.08,8.08
7,8.08,8.08,8.08,8.08,8.08,8.08,8.88
8,8.08,8.08,8.08,8.08,8.08,8.6,9.14
9,8.08,8.08,8.08,8.08,8.08,8.7,9.42
10,8.08,8.08,8.08,8.08,8.08,9.1,9.65
11,8.08,8.08,8.08,8.08,8.08,9.35,9.68
12,8.08,8.08,8.08,8.08,8.08,9.68,9.98
13,8.08,8.08,8.08,8.08,8.78,10.66,10.98
14,8.08,8.08,8.08,8.08,9.1,10.88,11.32
15,8.08,8.08,8.08,8.2,9.2,11.23,11.84
16,8.08,8.08,8.08,8.3,9.34,11.54,12.55
17,8.08,8.08,8.08,8.49,9.64,11.76,12.88
18,8.08,8.08,8.08,8.5,9.75,11.98,13.54
19,8.08,8.08,8.08,8.59,9.97,12.1,13.66
20,8.08,8.08,8.08,8.65,9.99,12.19,13.8
21,8.08,8.08,8.08,8.68,10.06,12.21,13.86
22,8.08,8.08,8.08,8.7,10.57,12.65,14.47
23,8.08,8.08,8.08,9.03,10.97,13.08,15.04
24,8.08,8.08,8.08,9.23,11.38,13.4,15.64
25,8.08,8.08,8.08,9.5,11.66,13.95,16.22
26,8.08,8.08,8.13,9.8,12.1,14.55,16.38
27,8.08,8.08,8.22,9.96,12.18,14.82,16.79
28,8.08,8.09,8.69,10.35,12.88,15.24,17.53
29,8.08,8.16,8.91,10.47,13.28,15.61,17.88
30,8.08,8.27,9.18,10.89,13.46,15.8,18.65
31,8.08,8.34,9.26,10.98,13.62,15.98,18.92
32,8.08,8.42,9.34,11.07,13.78,16.15,19.19
33,8.08,8.49,9.41,11.16,14.21,16.33,19.46
34,8.08,8.57,9.49,11.25,14.37,16.5,19.73
35,8.08,8.64,9.57,11.34,14.25,16.68,20
36,8.08,8.69,9.75,11.73,14.6,17.24,20.4
37,8.08,8.84,9.94,11.99,14.92,17.63,20.79
38,8.08,8.98,10.16,12.28,15.25,18.03,21.18
39,8.08,9.16,10.39,12.42,15.64,18.54,21.61
40,8.08,9.28,10.42,12.57,15.96,18.58,21.76
41,8.08,9.49,10.69,12.87,16.32,19.15,22.22
42,8.08,9.7,11.11,13.16,16.71,19.66,22.56
43,8.08,9.76,11.13,13.57,17.28,20.18,22.94
44,8.08,9.95,11.53,13.95,17.43,20.61,23.18
45,8.08,10.09,11.63,14.08,17.71,21.22,23.57
46,8.14,10.1,11.9,14.35,18.18,21.44,23.96
47,8.2,10.23,11.97,14.45,18.26,21.87,24.35
48,8.2,10.28,12.13,14.69,18.52,22.07,24.74
49,8.22,10.28,12.14,14.79,18.76,22.46,24.87
50,8.25,10.34,12.19,14.85,18.83,22.5,25.26
51,8.27,10.35,12.22,14.86,18.83,22.51,25.26
52,8.27,10.35,12.31,14.86,18.84,22.51,25.32
53,8.27,10.36,12.32,14.94,18.84,22.52,25.32
54,8.28,10.38,12.33,15.04,18.85,22.52,25.63
