Zone,From Zipcode,to Zipcode,zone_no
W,0,4,NA
W,5,5,8
W,10,212,8
W,213,213,NA
W,214,268,8
W,269,269,NA
W,270,342,8
W,343,343,NA
W,344,344,8
W,345,345,NA
W,346,347,8
W,348,348,NA
W,349,349,8
W,350,352,7
W,353,353,NA
W,354,358,7
W,359,364,8
W,365,367,7
W,368,368,8
W,369,372,7
W,373,374,8
W,375,375,7
W,376,379,8
W,380,384,7
W,385,385,8
W,386,397,7
W,398,418,8
W,419,419,NA
W,420,424,7
W,425,427,8
W,428,429,NA
W,430,459,8
W,460,466,7
W,467,468,8
W,469,469,7
W,470,473,8
W,474,479,7
W,480,497,8
W,498,504,7
W,505,505,6
W,506,507,7
W,508,508,6
W,509,509,7
W,510,516,6
W,517,519,NA
W,520,528,7
W,529,529,NA
W,530,532,7
W,533,533,NA
W,534,535,7
W,536,536,NA
W,537,551,7
W,552,552,NA
W,553,560,7
W,561,561,6
W,562,567,7
W,568,569,NA
W,570,577,6
W,578,579,NA
W,580,581,6
W,582,582,7
W,583,588,6
W,589,589,NA
W,590,591,5
W,592,593,6
W,594,594,5
W,595,595,6
W,596,599,5
W,600,620,7
W,621,621,NA
W,622,631,7
W,632,632,NA
W,633,639,7
W,640,641,6
W,642,643,NA
W,644,649,6
W,650,655,7
W,656,658,6
W,659,659,NA
W,660,662,6
W,663,663,NA
W,664,676,6
W,677,677,5
W,678,678,6
W,679,679,5
W,680,681,6
W,682,682,NA
W,683,692,6
W,693,693,5
W,694,699,NA
W,700,701,7
W,702,702,NA
W,703,708,7
W,709,709,NA
W,710,711,6
W,712,714,7
W,715,715,NA
W,716,717,7
W,718,718,6
W,719,725,7
W,726,727,6
W,728,728,7
W,729,731,6
W,732,732,NA
W,733,738,6
W,739,739,5
W,740,741,6
W,742,742,NA
W,743,775,6
W,776,777,7
W,778,789,6
W,790,791,5
W,792,792,6
W,793,794,5
W,795,796,6
W,797,816,5
W,817,819,NA
W,820,838,5
W,839,839,NA
W,840,847,4
W,848,849,NA
W,850,850,4
W,851,851,4
W,852,853,4
W,854,854,NA
W,855,857,4
W,858,858,NA
W,859,860,4
W,861,862,NA
W,863,863,4
W,864,864,3
W,865,865,4
W,866,869,NA
W,870,872,5
W,873,874,4
W,875,875,5
W,876,876,NA
W,877,885,5
W,886,888,NA
W,889,891,3
W,892,892,NA
W,893,895,4
W,896,896,NA
W,897,898,4
W,899,899,NA
W,900,908,2
W,909,909,NA
W,910,928,2
W,929,929,NA
W,930,935,2
W,936,939,3
W,940,942,4
W,943,943,3
W,944,949,4
W,950,953,3
W,954,966,4
W,970,974,5
W,975,976,4
W,977,986,5
W,987,987,NA
W,988,994,5
E,0,4,NA
E,5,5,2
E,10,12,2
E,13,41,3
E,42,49,4
E,50,59,3
E,60,119,2
E,120,123,3
E,124,127,2
E,128,136,3
E,137,139,2
E,140,142,3
E,143,143,4
E,144,149,3
E,150,153,4
E,154,160,3
E,161,161,4
E,162,163,3
E,164,165,4
E,166,169,3
E,170,176,2
E,177,177,3
E,178,199,2
E,200,205,3
E,206,208,2
E,209,209,3
E,210,212,2
E,213,213,NA
E,214,214,2
E,215,215,3
E,216,216,2
E,217,217,3
E,218,219,2
E,220,239,3
E,240,243,4
E,244,244,3
E,245,253,4
E,254,254,3
E,255,264,4
E,265,265,3
E,266,266,4
E,267,268,3
E,269,269,NA
E,270,278,4
E,279,279,3
E,280,288,4
E,289,289,5
E,290,297,4
E,298,329,5
E,330,333,6
E,334,338,5
E,339,341,6
E,342,342,5
E,343,343,NA
E,344,344,5
E,345,345,NA
E,346,347,5
E,348,348,NA
E,349,352,5
E,353,353,NA
E,354,364,5
E,365,366,6
E,367,375,5
E,376,379,4
E,380,386,5
E,387,387,6
E,388,389,5
E,390,392,6
E,393,393,5
E,394,396,6
E,397,402,5
E,403,418,4
E,419,419,NA
E,420,424,5
E,425,426,4
E,427,427,5
E,428,429,NA
E,430,459,4
E,460,466,5
E,467,468,4
E,469,469,5
E,470,470,4
E,471,471,5
E,472,473,4
E,474,479,5
E,480,492,4
E,493,499,5
E,500,503,6
E,504,504,5
E,505,505,6
E,506,507,5
E,508,516,6
E,517,519,NA
E,520,528,5
E,529,529,NA
E,530,532,5
E,533,533,NA
E,534,535,5
E,536,536,NA
E,537,551,5
E,552,552,NA
E,553,559,5
E,560,567,6
E,568,569,NA
E,570,576,6
E,577,577,7
E,578,579,NA
E,580,585,6
E,586,588,7
E,589,589,NA
E,590,593,7
E,594,599,8
E,600,620,5
E,621,621,NA
E,622,631,5
E,632,632,NA
E,633,639,5
E,640,641,6
E,642,643,NA
E,644,649,6
E,650,652,5
E,653,653,6
E,654,655,5
E,656,658,6
E,659,659,NA
E,660,662,6
E,663,663,NA
E,664,676,6
E,677,677,7
E,678,678,6
E,679,679,7
E,680,681,6
E,682,682,NA
E,683,692,6
E,693,693,7
E,694,699,NA
E,700,701,6
E,702,702,NA
E,703,708,6
E,709,709,NA
E,710,714,6
E,715,715,NA
E,716,722,6
E,723,725,5
E,726,731,6
E,732,732,NA
E,733,733,7
E,734,738,6
E,739,739,7
E,740,741,6
E,742,742,NA
E,743,764,6
E,765,765,7
E,766,767,6
E,768,769,7
E,770,778,6
E,779,797,7
E,798,799,8
E,800,814,7
E,815,815,8
E,816,816,7
E,817,819,NA
E,820,820,7
E,821,821,8
E,822,828,7
E,829,838,8
E,839,839,NA
E,840,847,8
E,848,849,NA
E,850,850,8
E,851,851,8
E,852,853,8
E,854,854,NA
E,855,857,8
E,858,858,NA
E,859,860,8
E,861,862,NA
E,863,865,8
E,866,869,NA
E,870,872,7
E,873,874,8
E,875,875,7
E,876,876,NA
E,877,877,7
E,878,880,8
E,881,884,7
E,885,885,8
E,886,888,NA
E,889,891,8
E,892,892,NA
E,893,895,8
E,896,896,NA
E,897,898,8
E,899,899,NA
E,900,908,8
E,909,909,NA
E,910,928,8
E,929,929,NA
E,930,966,8
E,970,986,8
E,987,987,NA
E,988,994,8
